state,income_mean,income_median,expenditure_mean,gini,poverty,latitude,longitude
Johor,8517,6879,5342,0.36646,4.6,2.0228821,103.3114564
Kedah,5550,4402,3765,0.35938,9,5.8098265,100.6715035
Kelantan,4885,3614,3505,0.3854,13.2,5.4021302,102.0635972
Melaka,8057,6210,5707,0.36963,4.2,2.3293744,102.2880962
Negeri Sembilan,6788,5226,4678,0.36853,4.4,2.7831895,102.1925319
Pahang,5777,4753,4107,0.3077,6.3,3.6168822,102.5994547
Penang,8267,6502,5322,0.37058,2,5.4065013,100.2559077
Perak,5779,4494,3903,0.36769,7.5,4.812181,100.9797908
Perlis,5664,4713,3834,0.33589,4,6.4868392,100.2577623
Selangor,12233,9983,6770,0.36123,1.5,3.2083304,101.304146
Terengganu,7248,5878,4796,0.32631,6.2,4.8630743,102.9949297
Sabah,6171,4577,3342,0.39491,19.7,5.4257359,114.2
Sarawak,6457,4978,3915,0.3818,10.8,2.5574,110.9
Kuala Lumpur,13325,10234,7823,0.3796,1.4,3.1526589,101.7022205
